날짜,패션잡화
2019-11-10,86
2019-11-11,81
2019-11-12,78
2019-11-13,77
2019-11-14,75
2019-11-15,68
2019-11-16,71
2019-11-17,89
2019-11-18,86
2019-11-19,85
2019-11-20,81
2019-11-21,74
2019-11-22,64
2019-11-23,68
2019-11-24,83
2019-11-25,83
2019-11-26,79
2019-11-27,79
2019-11-28,75
2019-11-29,67
2019-11-30,73
2019-12-01,97
2019-12-02,90
2019-12-03,88
2019-12-04,82
2019-12-05,81
2019-12-06,74
2019-12-07,77
2019-12-08,94
2019-12-09,89
2019-12-10,83
2019-12-11,82
2019-12-12,77
2019-12-13,67
2019-12-14,71
2019-12-15,87
2019-12-16,82
2019-12-17,80
2019-12-18,72
2019-12-19,67
2019-12-20,59
2019-12-21,62
2019-12-22,77
2019-12-23,68
2019-12-24,55
2019-12-25,67
2019-12-26,66
2019-12-27,59
2019-12-28,63
2019-12-29,73
2019-12-30,64
2019-12-31,55
2020-01-01,65
2020-01-02,66
2020-01-03,62
2020-01-04,67
2020-01-05,77
2020-01-06,71
2020-01-07,70
2020-01-08,68
2020-01-09,65
2020-01-10,59
2020-01-11,64
2020-01-12,76
2020-01-13,71
2020-01-14,68
2020-01-15,67
2020-01-16,64
2020-01-17,59
2020-01-18,63
2020-01-19,75
2020-01-20,67
2020-01-21,61
2020-01-22,57
2020-01-23,55
2020-01-24,59
2020-01-25,65
2020-01-26,77
2020-01-27,91
2020-01-28,80
2020-01-29,77
2020-01-30,74
2020-01-31,66
2020-02-01,79
2020-02-02,90
2020-02-03,78
2020-02-04,78
2020-02-05,76
2020-02-06,74
2020-02-07,69
2020-02-08,75
2020-02-09,89
2020-02-10,81
2020-02-11,82
2020-02-12,83
2020-02-13,76
2020-02-14,70
2020-02-15,79
2020-02-16,89
2020-02-17,81
2020-02-18,77
2020-02-19,74
2020-02-20,70
2020-02-21,63
2020-02-22,70
2020-02-23,78
2020-02-24,70
2020-02-25,74
2020-02-26,76
2020-02-27,75
2020-02-28,72
2020-02-29,80
2020-03-01,97
2020-03-02,83
2020-03-03,83
2020-03-04,84
2020-03-05,80
2020-03-06,74
2020-03-07,81
2020-03-08,93
2020-03-09,86
2020-03-10,85
2020-03-11,82
2020-03-12,77
2020-03-13,73
2020-03-14,78
2020-03-15,90
2020-03-16,79
2020-03-17,77
2020-03-18,77
2020-03-19,73
2020-03-20,68
2020-03-21,75
2020-03-22,87
2020-03-23,80
2020-03-24,77
2020-03-25,78
2020-03-26,76
2020-03-27,69
2020-03-28,73
2020-03-29,83
2020-03-30,78
2020-03-31,77
2020-04-01,81
2020-04-02,76
2020-04-03,69
2020-04-04,77
2020-04-05,88
2020-04-06,82
2020-04-07,78
2020-04-08,76
2020-04-09,72
2020-04-10,67
2020-04-11,76
2020-04-12,89
2020-04-13,79
2020-04-14,75
2020-04-15,88
2020-04-16,79
2020-04-17,73
2020-04-18,78
2020-04-19,95
2020-04-20,81
2020-04-21,79
2020-04-22,78
2020-04-23,73
2020-04-24,68
2020-04-25,76
2020-04-26,90
2020-04-27,82
2020-04-28,75
2020-04-29,67
2020-04-30,75
2020-05-01,81
2020-05-02,83
2020-05-03,94
2020-05-04,87
2020-05-05,100
2020-05-06,92
2020-05-07,82
2020-05-08,75
2020-05-09,82
2020-05-10,90
2020-05-11,84
2020-05-12,83
2020-05-13,80
2020-05-14,76
2020-05-15,72
2020-05-16,80
2020-05-17,97
2020-05-18,93
2020-05-19,88
2020-05-20,84
2020-05-21,80
2020-05-22,72
2020-05-23,79
2020-05-24,94
2020-05-25,86
2020-05-26,83
2020-05-27,80
2020-05-28,74
2020-05-29,67
2020-05-30,76
2020-05-31,93
2020-06-01,90
2020-06-02,86
2020-06-03,86
2020-06-04,81
2020-06-05,72
2020-06-06,79
2020-06-07,95
2020-06-08,90
2020-06-09,89
2020-06-10,90
2020-06-11,83
2020-06-12,73
2020-06-13,80
2020-06-14,94
2020-06-15,87
2020-06-16,84
2020-06-17,80
2020-06-18,75
2020-06-19,69
2020-06-20,74
2020-06-21,88
2020-06-22,89
2020-06-23,84
2020-06-24,83
2020-06-25,75
2020-06-26,67
2020-06-27,72
2020-06-28,87
2020-06-29,82
2020-06-30,78
