³¯Â¥,±èÄ¡
2020-02-11,28
2020-02-12,29
2020-02-13,28
2020-02-14,21
2020-02-15,22
2020-02-16,28
2020-02-17,29
2020-02-18,26
2020-02-19,27
2020-02-20,25
2020-02-21,25
2020-02-22,31
2020-02-23,36
2020-02-24,44
2020-02-25,42
2020-02-26,42
2020-02-27,40
2020-02-28,33
2020-02-29,36
2020-03-01,49
2020-03-02,44
2020-03-03,39
2020-03-04,39
2020-03-05,39
2020-03-06,30
2020-03-07,34
2020-03-08,41
2020-03-09,37
2020-03-10,39
2020-03-11,39
2020-03-12,39
2020-03-13,30
2020-03-14,33
2020-03-15,39
2020-03-16,43
2020-03-17,40
2020-03-18,39
2020-03-19,37
2020-03-20,32
2020-03-21,35
2020-03-22,39
2020-03-23,40
2020-03-24,39
2020-03-25,40
2020-03-26,37
2020-03-27,29
2020-03-28,29
2020-03-29,34
2020-03-30,35
2020-03-31,35
2020-04-01,37
2020-04-02,44
2020-04-03,28
2020-04-04,32
2020-04-05,35
2020-04-06,39
2020-04-07,38
2020-04-08,38
2020-04-09,35
2020-04-10,26
2020-04-11,29
2020-04-12,36
2020-04-13,36
2020-04-14,33
2020-04-15,38
2020-04-16,32
2020-04-17,30
2020-04-18,30
2020-04-19,39
2020-04-20,39
2020-04-21,38
2020-04-22,37
2020-04-23,32
2020-04-24,28
2020-04-25,28
2020-04-26,37
2020-04-27,32
2020-04-28,30
2020-04-29,22
2020-04-30,25
2020-05-01,26
2020-05-02,27
2020-05-03,31
2020-05-04,27
2020-05-05,31
2020-05-06,32
2020-05-07,27
2020-05-08,25
2020-05-09,26
2020-05-10,30
2020-05-11,33
2020-05-12,31
2020-05-13,29
2020-05-14,29
2020-05-15,25
2020-05-16,28
2020-05-17,32
2020-05-18,37
2020-05-19,35
2020-05-20,30
2020-05-21,35
2020-05-22,25
2020-05-23,25
2020-05-24,32
2020-05-25,35
2020-05-26,33
2020-05-27,29
2020-05-28,28
2020-05-29,23
2020-05-30,28
2020-05-31,31
2020-06-01,39
2020-06-02,37
2020-06-03,36
2020-06-04,33
2020-06-05,25
2020-06-06,26
2020-06-07,32
2020-06-08,33
2020-06-09,35
2020-06-10,36
2020-06-11,31
2020-06-12,27
2020-06-13,28
2020-06-14,39
2020-06-15,37
2020-06-16,33
2020-06-17,31
2020-06-18,31
2020-06-19,25
2020-06-20,26
2020-06-21,38
2020-06-22,38
2020-06-23,34
2020-06-24,35
2020-06-25,33
2020-06-26,27
2020-06-27,27
2020-06-28,38
2020-06-29,47
2020-06-30,38
