날짜,화장품/미용
2020-04-30,73
2020-05-01,73
2020-05-02,69
2020-05-03,76
2020-05-04,69
2020-05-05,84
2020-05-06,81
2020-05-07,74
2020-05-08,64
2020-05-09,72
2020-05-10,77
2020-05-11,76
2020-05-12,78
2020-05-13,78
2020-05-14,75
2020-05-15,71
2020-05-16,68
2020-05-17,75
2020-05-18,79
2020-05-19,77
2020-05-20,73
2020-05-21,71
2020-05-22,66
2020-05-23,68
2020-05-24,77
2020-05-25,75
2020-05-26,72
2020-05-27,72
2020-05-28,67
2020-05-29,65
2020-05-30,69
2020-05-31,79
2020-06-01,81
2020-06-02,77
2020-06-03,74
2020-06-04,75
2020-06-05,65
2020-06-06,71
2020-06-07,77
2020-06-08,73
2020-06-09,73
2020-06-10,73
2020-06-11,69
2020-06-12,64
2020-06-13,69
2020-06-14,76
2020-06-15,73
2020-06-16,73
2020-06-17,70
2020-06-18,67
2020-06-19,64
2020-06-20,67
2020-06-21,72
2020-06-22,73
2020-06-23,70
2020-06-24,70
2020-06-25,68
2020-06-26,60
2020-06-27,66
2020-06-28,72
2020-06-29,71
2020-06-30,70
